Ip-Mac,Start Date,Start Time,End Date,End Time,MB Consumption
100.71.53.24,20 May 24,16:05:34,21 May 24,02:45:00,18715.84
100.71.168.234,21 May 24,02:46:23,21 May 24,14:45:59,18659.82
100.71.100.58,21 May 24,14:46:34,22 May 24,02:45:00,13916.09
100.71.131.57,22 May 24,02:46:23,22 May 24,14:45:59,13100.57
100.71.8.175,22 May 24,14:46:34,23 May 24,02:45:00,3858.54
100.71.126.34,23 May 24,02:46:22,23 May 24,14:45:59,3798.97
100.71.65.115,23 May 24,14:46:34,24 May 24,02:45:00,1935.84
100.71.150.77,24 May 24,02:46:23,24 May 24,14:45:59,9002.35
100.71.173.112,24 May 24,14:46:34,25 May 24,02:45:00,8101.45
100.71.67.190,25 May 24,02:46:22,25 May 24,14:45:59,7417.07
100.71.119.0,25 May 24,14:46:33,26 May 24,02:45:00,11159.27
100.71.60.175,26 May 24,02:46:23,26 May 24,14:45:59,6466.84
100.71.42.187,26 May 24,14:46:34,26 May 24,22:34:00,8304.57
100.71.145.47,26 May 24,22:35:38,27 May 24,02:45:00,2044.23
100.71.120.60,27 May 24,02:46:23,27 May 24,14:45:59,11330
100.71.166.224,27 May 24,14:46:31,27 May 24,22:42:00,7733.09
100.71.126.120,27 May 24,22:43:27,28 May 24,02:45:00,3424.35
100.71.106.133,28 May 24,02:46:20,28 May 24,12:14:00,10032.07
100.71.185.183,29 May 24,03:03:29,29 May 24,15:02:59,7695.14
100.71.195.252,29 May 24,15:03:40,30 May 24,02:45:00,7159.94
100.71.231.238,30 May 24,02:46:23,30 May 24,14:45:59,4954.35
100.71.109.28,30 May 24,14:46:37,31 May 24,02:45:00,10254.37
100.71.137.68,31 May 24,02:46:20,31 May 24,09:01:00,3623.97
100.71.79.223,31 May 24,09:03:18,31 May 24,21:02:59,24752.23
100.71.170.127,31 May 24,21:03:29,01 Jun 24,02:45:00,4882.41
100.71.252.185,01 Jun 24,02:46:23,01 Jun 24,14:45:59,14522.66
100.71.133.217,01 Jun 24,14:46:34,02 Jun 24,02:45:00,14062.57
100.71.188.150,02 Jun 24,02:46:19,02 Jun 24,09:04:59,4089.33
100.71.67.162,02 Jun 24,09:07:47,02 Jun 24,16:20:00,7928.13
100.71.70.210,05 Jun 24,11:15:23,05 Jun 24,11:51:59,576.3
100.71.193.11,05 Jun 24,11:57:07,05 Jun 24,23:56:59,17048.29
100.71.103.173,05 Jun 24,23:57:14,06 Jun 24,02:45:00,494.5
100.71.123.224,06 Jun 24,02:46:23,06 Jun 24,14:45:59,11534.49
100.71.241.170,06 Jun 24,14:46:31,07 Jun 24,02:45:00,13761.72
100.71.169.29,07 Jun 24,02:46:23,07 Jun 24,14:45:59,13950.68
100.71.76.6,07 Jun 24,14:46:35,08 Jun 24,02:45:00,12623.88
100.71.149.28,08 Jun 24,02:46:23,08 Jun 24,14:45:59,8067.59
100.71.129.28,08 Jun 24,14:46:31,09 Jun 24,02:45:00,15642.31
100.71.63.217,09 Jun 24,02:46:20,09 Jun 24,14:45:59,11833.19
100.71.69.222,09 Jun 24,14:46:33,10 Jun 24,02:45:00,21953.54
100.71.58.28,10 Jun 24,02:46:22,10 Jun 24,14:45:59,12214.27
100.71.21.97,10 Jun 24,14:46:34,11 Jun 24,02:45:00,9147.57
100.71.248.220,11 Jun 24,02:46:20,11 Jun 24,14:45:59,8972.01
100.71.225.126,11 Jun 24,14:46:31,12 Jun 24,02:45:00,10176.44
100.71.36.169,12 Jun 24,02:46:23,12 Jun 24,14:45:59,7748.13
100.71.34.161,12 Jun 24,14:46:34,13 Jun 24,02:45:00,22011.29
100.71.185.31,13 Jun 24,02:46:23,13 Jun 24,14:45:59,15165.7
