Ip-Mac,Start Date,Start Time,End Date,End Time,MB Consumption
100.71.217.134,15 Aug 22,15:01:36,16 Aug 22,02:59:59,27038.14
100.71.19.103,16 Aug 22,03:01:27,16 Aug 22,15:01:00,19665.2
100.71.35.255,16 Aug 22,15:01:36,16 Aug 22,22:21:00,16043.87
100.71.157.5,16 Aug 22,22:22:03,17 Aug 22,02:59:59,1178.1
100.71.149.75,17 Aug 22,03:01:24,17 Aug 22,15:01:00,13763.86
100.71.237.131,17 Aug 22,15:01:36,18 Aug 22,02:59:59,19391.05
100.71.255.253,18 Aug 22,03:01:24,18 Aug 22,15:01:00,18677.05
100.71.70.42,18 Aug 22,15:01:33,18 Aug 22,22:34:00,15670.35
100.71.192.254,18 Aug 22,22:34:27,19 Aug 22,02:59:59,3654.75
100.71.89.212,19 Aug 22,03:01:24,19 Aug 22,15:01:00,18895.79
100.71.234.97,19 Aug 22,15:01:36,20 Aug 22,02:59:59,34060.48
100.71.248.118,20 Aug 22,03:01:24,20 Aug 22,15:01:00,15424.4
100.71.12.18,20 Aug 22,15:02:34,21 Aug 22,02:59:59,33811.93
100.71.55.46,21 Aug 22,03:01:25,21 Aug 22,15:01:00,17680.75
100.71.210.67,21 Aug 22,15:01:36,22 Aug 22,02:59:59,16835.2
100.71.237.209,22 Aug 22,03:01:27,22 Aug 22,15:01:00,9184.17
100.71.78.239,22 Aug 22,15:01:35,22 Aug 22,18:54:00,7820.79
100.71.42.221,22 Aug 22,18:58:58,23 Aug 22,02:59:59,17264.18
100.71.132.243,23 Aug 22,03:01:24,23 Aug 22,12:46:00,8674.09
100.71.236.66,23 Aug 22,13:41:18,23 Aug 22,13:45:00,19.28
100.71.108.79,23 Aug 22,14:10:09,23 Aug 22,14:11:59,3.1
100.71.249.118,23 Aug 22,14:58:17,24 Aug 22,02:58:00,18405.4
100.71.57.161,24 Aug 22,02:58:24,24 Aug 22,02:59:59,0.62
100.71.17.110,24 Aug 22,03:01:27,24 Aug 22,15:01:00,18607.22
100.71.236.53,24 Aug 22,15:01:37,25 Aug 22,02:59:59,25991.36
100.71.138.6,25 Aug 22,03:01:24,25 Aug 22,15:01:00,17251.39
100.71.111.76,25 Aug 22,15:01:36,26 Aug 22,02:59:59,14486.61
100.71.59.67,26 Aug 22,03:01:24,26 Aug 22,15:01:00,11975.53
100.71.55.25,26 Aug 22,15:01:36,27 Aug 22,02:59:59,23696.94
100.71.217.245,27 Aug 22,03:01:23,27 Aug 22,07:42:59,2051.61
100.71.30.194,27 Aug 22,07:43:33,27 Aug 22,17:38:59,20979.91
100.71.134.38,27 Aug 22,17:41:07,27 Aug 22,21:22:59,10565.48
100.71.95.202,27 Aug 22,21:24:29,27 Aug 22,21:46:00,565.52
100.71.7.129,27 Aug 22,21:47:47,27 Aug 22,21:52:59,202.45
100.71.251.152,27 Aug 22,21:55:00,28 Aug 22,02:59:59,10301.82
100.71.224.177,28 Aug 22,03:01:24,28 Aug 22,12:43:00,11810.06
100.71.143.202,28 Aug 22,12:44:19,28 Aug 22,12:46:00,49.49
100.71.3.231,28 Aug 22,12:47:23,29 Aug 22,00:46:59,41805.55
100.71.223.181,29 Aug 22,00:47:33,29 Aug 22,02:45:00,88.73
100.71.13.99,29 Aug 22,02:46:26,29 Aug 22,14:45:59,9905.06
100.71.69.69,29 Aug 22,14:47:29,29 Aug 22,16:08:59,1886.02
100.71.117.11,29 Aug 22,16:09:59,29 Aug 22,16:34:00,902.93
100.71.128.17,29 Aug 22,16:34:44,29 Aug 22,16:57:00,2071.35
100.71.131.193,29 Aug 22,16:57:36,29 Aug 22,17:00:00,0.05
100.71.136.212,29 Aug 22,17:00:45,29 Aug 22,17:03:00,3.14
100.71.125.209,29 Aug 22,17:03:13,29 Aug 22,17:03:00,50.54
100.71.228.144,29 Aug 22,17:10:38,29 Aug 22,17:11:59,25.22
100.71.158.250,29 Aug 22,17:13:01,29 Aug 22,21:52:00,10277.19
100.71.61.28,29 Aug 22,21:52:23,29 Aug 22,22:00:59,61.04
100.71.181.170,29 Aug 22,22:01:49,29 Aug 22,22:08:59,126.88
100.71.224.243,29 Aug 22,22:09:17,30 Aug 22,02:45:00,3969.96
100.71.173.175,30 Aug 22,02:46:23,30 Aug 22,07:26:00,207.56
100.71.216.138,30 Aug 22,07:26:21,30 Aug 22,19:26:00,21862.27
100.71.139.23,30 Aug 22,19:26:30,31 Aug 22,02:45:00,15608.88
100.71.171.31,31 Aug 22,02:46:26,31 Aug 22,14:45:59,12371.46
100.71.173.68,31 Aug 22,14:46:34,01 Sep 22,02:45:00,20787.23
100.71.4.21,01 Sep 22,02:46:24,01 Sep 22,14:45:59,13568.83
